,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,20,RL,4.25,9.323669057283185,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,43,43,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,6.946976,0,0,6.946976,1,0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,43.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,11.771436160121729
11,60,RL,4.44,9.386308454797962,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1,0,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,7.074963,1142,0,7.751045,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,1.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,0,7,2006,New,Partial,12.751299696013497
12,20,RL,4.234,9.470240063415512,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,46,46,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,6.81564,0,0,6.81564,1,0,1,0,2,1,TA,4,Typ,0,Gd,Detchd,46.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,11.877568578558138
13,20,RL,4.51,9.273502946933823,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1,0,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,7.309212,0,0,7.309212,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,1.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,0,8,2007,New,Partial,12.540757571577291
14,20,RL,4.234,9.298351249298896,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,48,48,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,7.133296,0,0,7.133296,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,48.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,11.964001084330445
15,45,RM,3.932,8.719317375506371,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,78,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,6.7499313,0,0,6.7499313,0,0,1,0,2,1,TA,5,Typ,0,Gd,Detchd,16.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,11.790557201568507
16,20,RL,4.234,9.327323087461798,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,40,40,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,6.9117475,0,0,6.9117475,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,40.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,11.911701584927597
17,90,RL,4.277,9.286467732363734,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,39,39,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,Y,SBrkr,7.167038,0,0,7.167038,0,0,2,0,2,2,TA,6,Typ,0,Gd,CarPort,39.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,11.407564949312402
18,20,RL,4.19,9.524786081697178,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,4,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,7.0157123,0,0,7.0157123,1,0,1,1,3,1,Gd,6,Typ,0,Gd,Detchd,4.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,11.976659481202368
19,20,RL,4.25,8.930626469173578,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,51,44,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,7.1996784,0,0,7.1996784,0,0,1,0,3,1,TA,6,Min1,0,Gd,Attchd,51.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,11.842229212112828
20,60,RL,4.613,9.5620530240851,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1,0,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,7.0544496,1218,0,7.773174,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,1.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,0,11,2006,New,Partial,12.692503112461443
21,45,RM,4.043,8.915835074176277,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,77,57,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,7.010312,0,0,7.010312,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,77.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,0,6,2007,WD,Normal,11.845102777308561
22,20,RL,4.316,9.184201714366488,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,6,6,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,7.49276,0,0,7.49276,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,6.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,12.345834587905333
23,120,RM,3.785,8.348537825386098,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,31,31,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,6.9660244,0,0,6.9660244,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,31.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,11.77452020265869
24,20,RL,4.234,9.017483513266844,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,42,9,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,6.9660244,0,0,6.9660244,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,42.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,11.944707881395766
25,20,RL,4.7,9.563107691083898,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2,2,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,7.377759,0,0,7.377759,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,12.454103912352162
26,20,RL,4.094,8.881836305004146,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,59,10,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,6.802395,0,0,6.802395,0,1,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,5.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,11.811547477460344
27,20,RL,4.586,9.348187438668308,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,3,2,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,7.440734,0,0,7.440734,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,12.631340380934517
28,20,RL,3.85,9.700207901150696,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,49,9,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,7.377759,0,0,7.377759,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,49.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,12.24288661865289
29,30,RM,4.094,8.752107198329362,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,81,58,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,6.253829,0,0,6.253829,0,0,1,0,1,1,Fa,4,Typ,0,Gd,Detchd,88.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,11.134589024250317
30,70,C (all),3.912,9.047821442478408,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,88,58,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,6.475433,668,0,7.1831117,0,0,1,0,3,1,TA,6,Typ,0,Gd,Detchd,88.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,0,7,2008,WD,Normal,10.596634733096073
31,20,RL,4.234,9.052984561199976,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,42,2,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,7.113142,0,0,7.113142,0,0,1,1,3,1,Gd,6,Typ,0,Gd,Attchd,42.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,11.914047823644255
32,20,RL,4.44,9.310095205113175,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,7.1180162,0,0,7.1180162,0,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,1.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,12.100156419938624
33,20,RL,4.25,9.26407069439715,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,51,51,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,7.4383836,0,0,7.4383836,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,51.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,12.016726473799254
34,120,RL,4.094,8.89740886527095,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2,2,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,7.3530817,0,0,7.3530817,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,12.533576212168626
35,60,RL,4.684,9.504352368122833,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2,1,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,7.031741,1320,0,7.8046594,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,12.641096555879882
36,20,RL,4.72,9.2927495082169,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,15,14,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,7.0003343,0,0,7.0003343,0,0,1,1,3,1,TA,6,Typ,0,Gd,Attchd,14.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,11.884489021402711
37,20,RL,4.305,9.05157907959124,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,55,19,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,7.167809,0,0,7.167809,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,55.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,11.938193200374572
38,20,RL,4.22,8.977398978181862,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,57,3,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,6.96319,0,0,6.96319,1,0,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,57.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,11.59910316121128
39,90,RL,4.176,8.706159290928861,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,53,53,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,N,FuseP,7.049255,0,0,7.049255,0,0,2,0,2,2,Fa,6,Typ,0,Gd,Attchd,28.0,Unf,0,0,TA,TA,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,11.314474526246391
40,20,RL,4.43,9.066239028001926,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,41,41,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,7.1884127,0,0,7.1884127,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,41.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,11.982929094215963
41,20,RL,4.746,9.735364715141987,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,48,48,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,7.191429,0,0,7.191429,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,48.0,RFn,1,308,TA,TA,P,0,104,0,0,0,0,0,7,2007,WD,Normal,12.043553716032399
42,85,RL,4.234,9.124782483614537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,24,24,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,6.784457,0,0,6.784457,1,0,1,0,2,1,Gd,5,Typ,0,Gd,Attchd,24.0,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,11.877568578558138
43,20,RL,4.234,9.126958763037132,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,33,28,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,6.84375,0,0,6.84375,1,0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,31.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,11.777210959615614
44,20,RL,4.25,8.980298078970817,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,47,47,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,7.0475173,0,0,7.0475173,1,0,1,0,3,1,TA,6,Typ,0,Gd,Attchd,47.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,11.856515169360305
45,120,RL,4.11,8.943506132037239,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,5,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,7.4685135,0,0,7.4685135,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,5.0,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,12.675763725937609
46,50,RL,3.871,9.458917724547202,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,7.325149,631,0,7.672758,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,6.0,RFn,2,670,TA,TA,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,12.387085012375499
47,20,FV,4.43,9.314339961994667,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,7.4121604,0,0,7.4121604,0,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,1.0,RFn,3,826,TA,TA,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,12.428015476267865
48,190,RM,3.496,8.40200678160712,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,89,1,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,Y,SBrkr,6.60123,716,0,7.2806973,0,0,2,0,2,3,TA,8,Typ,0,Gd,Attchd,29.0,Unf,0,0,TA,TA,N,0,0,102,0,0,0,0,6,2009,New,Partial,11.635143097694478
